nombre_invocador,region,liga,lps,cola,ranking_mundial,ranking_porcentaje,wins,loses,n_games,winrate_total,liga_label
Hide on bush,KR,GrandMaster,542,Soloqueue,4736,0.049,149,135,284,52.5,1
Jinno Kingdom,EUW,Challenger,801,Soloqueue,1183,0.012,295,273,568,51.9,2
Satoru Gojo03,EUW,Challenger,984,Soloqueue,535,0.0056,77,47,124,62.1,2
TL Honda Bwipo,NA,Master,392,Soloqueue,10981,0.11,25,11,36,69.4,0
pleroma chronou,EUW,GrandMaster,616,Soloqueue,3944,0.041,123,107,230,53.5,1
Kongenvenderhjem,EUW,Challenger,1203,Soloqueue,156,0.0016,114,73,211,59.7,2
BilIy Butcher1,EUW,GrandMaster,743,Soloqueue,3043,0.032,212,191,402,52.7,1
FNC Hylissang,EUW,Challenger,1055,Soloqueue,358,0.0037,214,179,393,54.5,2
TH Krillin,EUW,Challenger,1206,Soloqueue,150,0.0015,162,128,290,55.9,2
snøwƒall,EUW,GrandMaster,662,Soloqueue,3513,0.037,195,186,381,51.2,1
elyoyaaaaaaaaaaa,EUW,GrandMaster,806,Soloqueue,2815,0.029,177,155,333,53.5,1
Wesley Warren Jr,EUW,Challenger,1033,Soloqueue,393,0.0041,227,189,416,54.6,2
Razørk Activoo,EUW,Challenger,1036,Soloqueue,387,0.004,159,139,298,53.4,2
C9 Zven,NA,Challenger,1117,Soloqueue,262,0.0027,152,140,291,52.2,2
칸 나,KR,GrandMaster,608,Soloqueue,4044,0.042,115,92,207,55.6,1
T1 Gumayusi,KR,Challenger,1083,Soloqueue,308,0.0032,167,136,303,55.1,2
GOOD GAME GG EZ,EUW,Challenger,1132,Soloqueue,235,0.0024,151,115,266,56.8,2
HAHAHAHHAHA,EUW,Challenger,1293,Soloqueue,86,0.0009,166,134,298,55.7,2
잘가요 굿바이,KR,GrandMaster,637,Soloqueue,3740,0.039,80,61,141,56.7,1
Kobbe,EUW,Challenger,1013,Soloqueue,452,0.0047,126,97,221,56.6,2
TL Honda CoreJJ,NA,Challenger,1059,Soloqueue,350,0.0036,133,112,245,54.3,2
Vulcan 01,NA,Challenger,921,Soloqueue,731,0.0077,101,79,180,56.1,2
ecrrd,KR,GrandMaster,623,Soloqueue,3872,0.04,86,50,136,63.2,1
역천괴,KR,GrandMaster,399,Soloqueue,6573,0.069,106,99,207,51.7,1
BiIIy Butcher1,EUW,Challenger,1135,Soloqueue,226,0.0023,171,138,309,55.3,2
blaberfish2,NA,Challenger,1462,Soloqueue,25,0.00026,120,73,193,62.2,2
Jænsen,NA,GrandMaster,952,Soloqueue,2636,0.027,88,55,142,62.0,1
Cuzz,KR,GrandMaster,494,Soloqueue,5353,0.056,54,37,91,59.3,1
I Love Uber Eats,EUW,Challenger,1258,Soloqueue,108,0.0011,215,181,396,54.3,2
school phobia,EUW,Challenger,1416,Soloqueue,43,0.00045,179,131,310,57.7,2
mersa777,EUW,Challenger,902,Soloqueue,806,0.0084,89,67,156,57.1,2
dajor25,EUW,GrandMaster,777,Soloqueue,2899,0.03,124,95,221,56.6,1
PhutureNοize,EUW,Master,535,Soloqueue,9267,0.097,49,29,78,62.8,0
C9 Fudge,NA,GrandMaster,610,Soloqueue,4017,0.042,83,71,153,54.2,1
Targamas,EUW,Challenger,1135,Soloqueue,225,0.0023,202,170,371,54.2,2
Maxlore,EUW,Challenger,914,Soloqueue,755,0.0079,289,273,559,51.5,2
Percy Magic,EUW,Challenger,1304,Soloqueue,82,0.00086,245,200,447,54.8,2
M1dLaoBan,EUW,Challenger,1056,Soloqueue,353,0.0037,233,199,432,53.9,2
호잇이,KR,Challenger,971,Soloqueue,559,0.0058,150,120,270,55.6,2
Disabled Chattt,EUW,Master,428,Soloqueue,10318,0.1,153,155,308,49.7,0
Stend,EUW,Challenger,892,Soloqueue,845,0.0089,98,65,163,60.1,2
KC Leona,EUW,GrandMaster,769,Soloqueue,2925,0.03,178,155,333,53.5,1
FΙGHT,EUW,Challenger,1230,Soloqueue,126,0.0013,178,136,314,56.7,2
Hatrixx,EUW,Master,314,Soloqueue,12971,0.13,66,61,128,51.6,0
Beanovich,EUW,Challenger,1103,Soloqueue,281,0.0029,272,237,508,53.5,2
Kaytraa is bae,EUW,Master,292,Soloqueue,13779,0.14,45,33,78,57.7,0
Zaunite Mylo,EUW,Master,416,Soloqueue,10528,0.11,98,79,240,54.6,0
boiat nastana,EUW,Challenger,1236,Soloqueue,122,0.0012,181,139,320,56.6,2
Boukada,EUW,Challenger,1006,Soloqueue,477,0.005,104,73,177,58.8,2
bluerzor,EUW,GrandMaster,786,Soloqueue,2880,0.03,149,129,278,53.6,1
Robính00D,EUW,Master,178,Soloqueue,19881,0.2,29,24,53,54.7,0
