kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,nombre_invocador,rol_3,games_per_rol_3,winrate_per_rol_3
6.6,4.9,7.5,AD Carry,447,53.7,Jungler,59.0,45.8,Jinno Kingdom,Support,37.0,51.4
5.4,4.2,6.4,Mid,246,54.1,Jungler,25.0,44.0,Hide on bush,Top,8.0,37.5
7.2,5.2,7.2,AD Carry,120,61.7,Mid,3.0,100.0,Satoru Gojo03,Jungler,1.0,0.0
7.3,5.8,5.5,AD Carry,20,35.0,0,0.0,0.0,LFT ADC,0,0.0,0.0
7.1,5.9,5.7,Top,189,60.8,Jungler,7.0,42.9,Kongenvenderhjem,Mid,7.0,57.1
7.1,5.2,6.5,Mid,189,57.7,AD Carry,14.0,28.6,pleroma chronou,Jungler,13.0,46.2
9.5,5.7,8.3,AD Carry,36,66.7,Mid,3.0,100.0,TL Honda Bwipo,Jungler,1.0,100.0
7.4,6.4,6.2,Mid,376,53.5,AD Carry,23.0,43.5,BilIy Butcher1,Top,3.0,33.3
2.2,5.7,12.7,Support,353,55.5,Mid,20.0,40.0,FNC Hylissang,Top,18.0,50.0
7.4,4.8,8.8,Jungler,256,55.9,Support,33.0,57.6,TH Krillin,Mid,1.0,0.0
8.0,6.0,7.8,Jungler,316,54.1,Mid,36.0,44.4,snøwƒall,Top,27.0,37.0
7.2,4.4,7.7,Jungler,260,56.2,Mid,41.0,41.5,elyoyaaaaaaaaaaa,Top,18.0,44.4
6.2,4.9,6.1,Mid,356,55.3,AD Carry,37.0,62.2,Wesley Warren Jr,Top,13.0,15.4
6.5,4.8,8.5,Jungler,231,54.5,Mid,35.0,42.9,Razørk Activoo,Top,16.0,50.0
2.9,5.1,11.1,Support,261,52.1,AD Carry,20.0,55.0,C9 Zven,Mid,8.0,62.5
6.4,5.1,6.6,AD Carry,266,56.0,Top,15.0,60.0,T1 Gumayusi,Jungler,14.0,28.6
6.4,5.3,7.0,Mid,229,57.2,Top,14.0,42.9,GOOD GAME GG EZ,AD Carry,14.0,64.3
5.6,4.7,4.9,Top,189,57.1,Jungler,16.0,37.5,칸 나,Support,2.0,50.0
7.3,6.0,6.1,AD Carry,269,55.0,Mid,16.0,62.5,HAHAHAHHAHA,Top,12.0,58.3
7.0,4.4,7.4,AD Carry,191,56.5,Mid,29.0,55.2,Kobbe,Top,1.0,100.0
7.7,4.8,7.3,Jungler,123,54.5,Top,16.0,81.3,잘가요 굿바이,Mid,2.0,0.0
4.9,4.4,4.7,Top,96,58.3,Mid,6.0,50.0,Armuttt,Support,2.0,50.0
2.8,4.9,12.4,Support,158,55.7,Top,8.0,62.5,Vulcan 01,AD Carry,8.0,62.5
7.9,5.0,8.3,AD Carry,76,67.1,Jungler,45.0,55.6,ecrrd,Support,8.0,75.0
3.0,5.7,11.8,Support,212,58.5,AD Carry,15.0,26.7,TL Honda CoreJJ,Mid,11.0,27.3
5.5,4.8,5.5,Top,284,55.6,Jungler,13.0,53.8,BiIIy Butcher1,Mid,9.0,44.4
3.9,6.2,10.1,Support,145,52.4,Jungler,26.0,46.2,역천괴,AD Carry,22.0,54.5
7.3,5.5,8.0,Jungler,146,64.4,Mid,33.0,45.5,blaberfish2,AD Carry,7.0,71.4
5.6,4.0,8.2,Jungler,74,62.2,Top,12.0,41.7,Cuzz,Mid,5.0,60.0
5.9,4.2,8.4,Mid,108,67.6,Jungler,17.0,47.1,Jænsen,AD Carry,15.0,46.7
2.5,4.9,13.7,Support,285,58.2,AD Carry,24.0,54.2,school phobia,Mid,1.0,0.0
6.5,5.8,5.7,Mid,170,58.8,Top,29.0,62.1,dajor25,AD Carry,17.0,23.5
5.0,4.7,9.3,Jungler,353,54.1,Top,22.0,63.6,I Love Uber Eats,Mid,16.0,62.5
2.4,5.0,12.5,Support,125,58.4,Top,18.0,61.1,mersa777,Mid,11.0,36.4
7.7,5.1,7.7,Jungler,513,53.2,Top,27.0,40.7,Maxlore,Mid,7.0,0.0
9.0,4.8,6.8,AD Carry,76,63.2,Mid,1.0,100.0,PhutureNοize,Support,1.0,0.0
5.7,5.0,5.3,Top,131,53.4,Mid,18.0,72.2,C9 Fudge,AD Carry,2.0,0.0
3.4,4.6,12.5,Support,333,56.8,Mid,23.0,26.1,Targamas,Top,7.0,28.6
5.2,4.1,6.1,Mid,262,50.4,AD Carry,40.0,45.0,Disabled Chattt,Top,4.0,50.0
6.1,5.5,7.0,Mid,353,53.3,AD Carry,70.0,55.7,M1dLaoBan,Top,5.0,80.0
6.2,3.8,6.2,Mid,343,58.3,AD Carry,58.0,44.8,Percy Magic,Jungler,26.0,42.3
5.3,4.4,5.3,Mid,71,52.1,AD Carry,3.0,66.7,XAKY,Top,1.0,100.0
4.9,4.8,6.2,Top,278,57.6,AD Carry,15.0,53.3,FΙGHT,Mid,12.0,58.3
2.8,5.5,12.2,Support,301,54.5,AD Carry,25.0,44.0,KC Leona,Mid,5.0,40.0
3.9,4.2,4.2,Top,144,47.9,Mid,2.0,50.0,Just Again,AD Carry,1.0,0.0
5.6,4.2,6.7,Mid,99,55.6,Jungler,15.0,40.0,Hatrixx,Top,12.0,33.3
5.5,4.9,7.3,Mid,263,57.8,AD Carry,34.0,58.8,boiat nastana,Top,10.0,20.0
6.6,4.5,6.4,AD Carry,464,53.0,Mid,43.0,60.5,Beanovich,Top,1.0,0.0
4.7,6.0,7.6,Top,46,52.2,Support,21.0,71.4,Kaytraa is bae,Mid,5.0,60.0
6.8,5.1,6.8,AD Carry,42,57.1,Top,6.0,50.0,Robính00D,Mid,4.0,50.0
7.2,5.4,9.9,Jungler,163,58.9,Top,7.0,57.1,Boukada,Mid,4.0,75.0
2.7,5.4,15.4,Support,235,54.9,Mid,3.0,33.3,Zaunite Mylo,Top,1.0,0.0
6.2,4.5,8.4,Jungler,255,55.7,Mid,12.0,25.0,bluerzor,Top,6.0,33.3
