Champion,Winrate
Aphelios,59.61333333333334
Ashe,63.6
Aurelion Sol,63.3
Caitlyn,57.74566929133858
Cassiopeia,55.26666666666667
Darius,57.9
Diana,70.6
Draven,59.81964285714286
Ezreal,57.332051282051275
Fiddlesticks,61.5
Gragas,57.6
Irelia,50.0
Janna,57.9
Jarvan IV,56.0
Jayce,72.2
Jhin,59.8421052631579
Jinx,61.8
Kai'Sa,57.532051282051285
Kalista,68.93333333333334
Karma,56.875
Karthus,54.26666666666667
Kassadin,65.2
Kog'Maw,58.75
Lucian,64.05416666666666
Lux,69.6
Maestro Yi,58.3
Miss Fortune,57.6
Nilah,66.26666666666667
Rakan,73.7
Renata Glasc,75.8
Rengar,54.9
Samira,60.065384615384616
Senna,60.75
Seraphine,61.074999999999996
Sion,40.6
Sivir,60.76666666666667
Swain,60.1
Sylas,54.43333333333334
Syndra,78.6
Thresh,60.0
Tristana,60.51111111111111
Twisted Fate,66.7
Twitch,64.19117647058823
Varus,56.57669172932331
Vayne,59.3
Viego,72.7
Vladimir,66.7
Wukong,60.7
Xayah,62.03939393939394
Yasuo,57.76666666666667
Yone,55.75
Zeri,61.11355932203389
Ziggs,56.73333333333333
Zilean,59.3
